user_id,registration_date,activity_date,feature_used,session_duration_minutes,device_os
MM_1001,2024-09-07,2024-11-04 00:00:00,Health Articles,11.7,Android
MM_1001,2024-09-07,2024-09-11 00:00:00,Period Tracker,13.5,Android
MM_1001,2024-09-07,2024-10-21 00:00:00,Period Tracker,7.3,Android
MM_1001,2024-09-07,2024-09-27 00:00:00,Period Tracker,11.6,Android
MM_1001,2024-09-07,2024-09-18 00:00:00,Community Forum,14.4,iOS
MM_1001,2024-09-07,2024-09-13 00:00:00,Period Tracker,4.9,iOS
MM_1001,2024-09-07,2024-11-01 00:00:00,Period Tracker,13.6,Android
MM_1001,2024-09-07,2024-10-15 00:00:00,Period Tracker,10.5,iOS
MM_1001,2024-09-07,2024-09-07 00:00:00,Period Tracker,8.1,iOS
MM_1001,2024-09-07,2024-11-05 00:00:00,Period Tracker,9.7,iOS
MM_1001,2024-09-07,2024-09-27 00:00:00,Symptom Logger,12.6,Android
MM_1001,2024-09-07,2024-10-28 00:00:00,Period Tracker,10.4,iOS
MM_1001,2024-09-07,2024-10-03 00:00:00,Period Tracker,8.5,iOS
MM_1001,2024-09-07,2024-10-23 00:00:00,Period Tracker,6.3,Android
MM_1002,2024-08-03,2024-09-21 00:00:00,Period Tracker,14.8,iOS
MM_1002,2024-08-03,2024-09-21 00:00:00,Period Tracker,11.4,Android
MM_1002,2024-08-03,2024-09-23 00:00:00,Symptom Logger,11.4,Android
MM_1002,2024-08-03,2024-08-16 00:00:00,Symptom Logger,7.0,iOS
MM_1002,2024-08-03,2024-08-23 00:00:00,Community Forum,3.8,Android
MM_1002,2024-08-03,2024-08-17 00:00:00,Period Tracker,10.0,Android
MM_1002,2024-08-03,2024-08-07 00:00:00,Period Tracker,10.5,Android
MM_1002,2024-08-03,2024-09-20 00:00:00,Period Tracker,10.5,iOS
MM_1002,2024-08-03,2024-09-04 00:00:00,Period Tracker,8.0,iOS
MM_1002,2024-08-03,2024-09-24 00:00:00,Symptom Logger,5.2,Android
MM_1003,2024-08-08,2024-09-18 00:00:00,Period Tracker,2.9,Android
MM_1003,2024-08-08,2024-09-30 00:00:00,Period Tracker,6.9,Android
MM_1003,2024-08-08,2024-09-04 00:00:00,Symptom Logger,2.9,iOS
MM_1003,2024-08-08,2024-09-19 00:00:00,Symptom Logger,10.1,iOS
MM_1003,2024-08-08,2024-10-05 00:00:00,Period Tracker,9.2,iOS
MM_1003,2024-08-08,2024-08-12 00:00:00,Community Forum,12.2,Android
MM_1003,2024-08-08,2024-08-15 00:00:00,Period Tracker,4.6,iOS
MM_1003,2024-08-08,2024-09-17 00:00:00,Symptom Logger,13.7,iOS
MM_1003,2024-08-08,2024-09-01 00:00:00,Community Forum,5.4,iOS
MM_1003,2024-08-08,2024-08-26 00:00:00,Health Articles,1.1,Android
MM_1004,2024-08-17,2024-09-22 00:00:00,Period Tracker,10.2,iOS
